Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-MMU-76002,"Platelet activation, signaling and aggregation",,-5.6,3.7,6,20638,242,420,18,4.3,0.99,11465|11848|14693|14710|19353|19354|20363|20692|54519|56212|67059|68117|72017|76192|108101|109905|216869|231871,Actg1|Rhoa|Gnb2|Gngt2|Rac1|Rac2|Selenop|Sparc|Apbb1ip|Rhog|Ola1|Apool|Cyb5r1|Abhd12|Fermt3|Rap1a|Arrb2|Daglb,-2.4,MyList
GO Biological Processes,19,GO:0034440,lipid oxidation,,-5.4,5.1,6.4,20638,116,420,12,2.9,0.81,11409|15107|15488|16922|20280|20524|23986|27226|52538|66841|72674|113868,Acads|Hadh|Hsd17b4|Phyh|Scp2|Slc25a17|Eci2|Pla2g7|Acaa2|Etfdh|Adipor1|Acaa1a,-2.3,MyList
GO Biological Processes,19,GO:0006631,fatty acid metabolic process,,-5.4,2.9,5.5,20638,412,420,24,5.7,1.1,11409|14775|14979|15107|15446|15488|16922|18777|19079|20280|20524|21937|23986|26457|26897|51798|52538|66841|72674|106529|113868|171210|231871|625249,Acads|Gpx1|H2-Ke6|Hadh|Hpgd|Hsd17b4|Phyh|Lypla1|Prkab1|Scp2|Slc25a17|Tnfrsf1a|Eci2|Slc27a1|Acot1|Ech1|Acaa2|Etfdh|Adipor1|Tecr|Acaa1a|Acot2|Daglb|Gpx4,-2.3,MyList
GO Biological Processes,19,GO:0009062,fatty acid catabolic process,,-5.3,5.6,6.5,20638,97,420,11,2.6,0.78,11409|15107|15488|16922|20280|20524|23986|52538|66841|113868|171210,Acads|Hadh|Hsd17b4|Phyh|Scp2|Slc25a17|Eci2|Acaa2|Etfdh|Acaa1a|Acot2,-2.3,MyList
GO Biological Processes,19,GO:0032509,endosome transport via multivesicular body sorting pathway,,-5.3,10,7.7,20638,34,420,7,1.7,0.62,66700|66914|68942|71817|76959|230514|234852,Chmp3|Vps28|Chmp2b|Tmem50a|Chmp5|Leprot|Chmp1a,-2.3,MyList
GO Biological Processes,19,GO:0072329,monocarboxylic acid catabolic process,,-5.3,5,6.3,20638,117,420,12,2.9,0.81,11409|15107|15488|16922|20280|20524|23986|52538|66841|113868|171210|269823,Acads|Hadh|Hsd17b4|Phyh|Scp2|Slc25a17|Eci2|Acaa2|Etfdh|Acaa1a|Acot2|Pon3,-2.3,MyList
GO Biological Processes,19,GO:1902743,regulation of lamellipodium organization,,-5.3,8.2,7.2,20638,48,420,8,1.9,0.67,12345|19353|19354|23789|23999|57784|76709|242687,Capzb|Rac1|Rac2|Coro1b|Twf2|Bin3|Arpc2|Wasf2,-2.3,MyList
GO Biological Processes,19,GO:0031347,regulation of defense response,,-5.2,2.5,5.3,20638,566,420,29,6.9,1.2,11433|11555|11669|11816|12493|12539|12702|14082|14775|16170|16423|16643|21937|22695|26904|57320|65113|66294|69769|76192|83490|100561|106512|170744|192656|216869|231871|332579|625249,Acp5|Adrb2|Aldh2|Apoe|Cd37|Cdc37|Socs3|Fadd|Gpx1|Il16|Cd47|Klrd1|Tnfrsf1a|Zfp36|Sh2d1b1|Park7|Ndfip1|Fam3a|Tnfaip8l2|Abhd12|Pik3ap1|Slc15a4|Gpsm3|Tlr8|Ripk2|Arrb2|Daglb|Card9|Gpx4,-2.2,MyList
GO Biological Processes,19,GO:0019693,ribose phosphate metabolic process,,-5.2,3,5.5,20638,365,420,22,5.2,1.1,11848|13806|13808|14635|14751|15488|20280|26897|27369|52538|56248|66114|66174|66588|67763|68087|76952|105446|110095|171210|213484|433182,Rhoa|Eno1|Eno3|Galk1|Gpi1|Hsd17b4|Scp2|Acot1|Dguok|Acaa2|Ak3|Dnajc30|Nudt14|Cmpk1|Prpsap1|Dcakd|Nt5c2|Gmpr2|Pygl|Acot2|Nudt18|Eno1b,-2.2,MyList
Reactome Gene Sets,6,R-MMU-71387,Metabolism of carbohydrates,,-5.1,3.4,5.6,20638,261,420,18,4.3,0.99,11677|13806|13808|14635|14751|15212|17159|17449|21351|27357|54613|59031|66171|67863|72136|110006|110095|433182,Akr1b3|Eno1|Eno3|Galk1|Gpi1|Hexb|Man2b1|Mdh1|Taldo1|Gyg|St3gal6|Chst12|Pgls|Slc25a11|Chst14|Gusb|Pygl|Eno1b,-2.2,MyList
Reactome Gene Sets,6,R-MMU-9609507,Protein localization,,-5.1,5.2,6.2,20638,103,420,11,2.6,0.78,12359|15488|16922|20524|23986|26897|51798|52551|59038|113868|171210,Cat|Hsd17b4|Phyh|Slc25a17|Eci2|Acot1|Ech1|Sgta|Pxmp4|Acaa1a|Acot2,-2.2,MyList
GO Biological Processes,19,GO:0071985,multivesicular body sorting pathway,,-5,9.1,7.2,20638,38,420,7,1.7,0.62,66700|66914|68942|71817|76959|230514|234852,Chmp3|Vps28|Chmp2b|Tmem50a|Chmp5|Leprot|Chmp1a,-2.1,MyList
GO Biological Processes,19,GO:0010591,regulation of lamellipodium assembly,,-5,9.1,7.2,20638,38,420,7,1.7,0.62,12345|19353|19354|23999|57784|76709|242687,Capzb|Rac1|Rac2|Twf2|Bin3|Arpc2|Wasf2,-2.1,MyList
GO Biological Processes,19,GO:0006979,response to oxidative stress,,-4.9,2.8,5.2,20638,410,420,23,5.5,1.1,11669|11677|11757|11816|12359|13010|14281|14768|14775|15369|22228|23992|56338|57320|59047|64704|65106|66841|68943|69051|140742|246196|625249,Aldh2|Akr1b3|Prdx3|Apoe|Cat|Cst3|Fos|Lancl1|Gpx1|Hmox2|Ucp2|Prkra|Txnip|Park7|Pnkp|Htra2|Arl6ip5|Etfdh|Pink1|Pycr2|Sesn1|Zfp277|Gpx4,-2,MyList
GO Biological Processes,19,GO:0005975,carbohydrate metabolic process,,-4.9,2.4,5,20638,562,420,28,6.7,1.2,11677|12492|13806|13808|14635|14751|15212|17159|17449|17939|19045|21351|22278|27357|54613|59031|66171|66294|71665|72136|72674|80915|104570|110006|110095|232984|233571|433182,Akr1b3|Scarb2|Eno1|Eno3|Galk1|Gpi1|Hexb|Man2b1|Mdh1|Naga|Ppp1ca|Taldo1|Usf1|Gyg|St3gal6|Chst12|Pgls|Fam3a|Fuca1|Chst14|Adipor1|Dusp12|Ppp4r3b|Gusb|Pygl|B3gnt8|P2ry6|Eno1b,-2,MyList
GO Biological Processes,19,GO:0019395,fatty acid oxidation,,-4.9,5,6,20638,109,420,11,2.6,0.78,11409|15107|15488|16922|20280|20524|23986|52538|66841|72674|113868,Acads|Hadh|Hsd17b4|Phyh|Scp2|Slc25a17|Eci2|Acaa2|Etfdh|Adipor1|Acaa1a,-2,MyList
KEGG Pathway,24,mmu00062,Fatty acid elongation,,-4.9,11,7.4,20638,27,420,6,1.4,0.58,15107|19063|26897|52538|106529|171210,Hadh|Ppt1|Acot1|Acaa2|Tecr|Acot2,-2,MyList
KEGG Pathway,24,ko00062,Fatty acid elongation,,-4.9,11,7.4,20638,27,420,6,1.4,0.58,15107|19063|26897|52538|106529|171210,Hadh|Ppt1|Acot1|Acaa2|Tecr|Acot2,-2,MyList
Reactome Gene Sets,6,R-MMU-5653656,Vesicle-mediated transport,,-4.8,2.4,5,20638,567,420,28,6.7,1.2,11465|11555|11816|12345|12492|13854|14569|19326|20692|22151|56443|59288|66147|66700|66914|67443|68137|68942|69178|69654|76308|76709|76959|108012|108148|216869|245828|271457,Actg1|Adrb2|Apoe|Capzb|Scarb2|Epn1|Gdi2|Rab11b|Sparc|Tubb2a|Arpc1a|Dctn5|Necap2|Chmp3|Vps28|Map1lc3b|Kdelr1|Chmp2b|Snx5|Dctn2|Rab1b|Arpc2|Chmp5|Ap1s2|Galnt2|Arrb2|Trappc1|Rab5a,-2,MyList
GO Biological Processes,19,GO:0006635,fatty acid beta-oxidation,,-4.8,6.1,6.2,20638,73,420,9,2.1,0.71,11409|15107|15488|20280|20524|23986|52538|66841|113868,Acads|Hadh|Hsd17b4|Scp2|Slc25a17|Eci2|Acaa2|Etfdh|Acaa1a,-2,MyList
Reactome Gene Sets,6,R-MMU-109582,Hemostasis,,-4.8,2.5,5,20638,507,420,26,6.2,1.2,11465|11848|12345|12506|14693|14710|16423|19353|19354|20363|20692|20719|22151|54519|56212|56248|67059|68117|72017|76192|108101|109905|216869|231871|271457|381484,Actg1|Rhoa|Capzb|Cd48|Gnb2|Gngt2|Cd47|Rac1|Rac2|Selenop|Sparc|Serpinb6a|Tubb2a|Apbb1ip|Rhog|Ak3|Ola1|Apool|Cyb5r1|Abhd12|Fermt3|Rap1a|Arrb2|Daglb|Rab5a|Gm5150,-2,MyList
GO Biological Processes,19,GO:0006753,nucleoside phosphate metabolic process,,-4.7,2.6,5,20638,449,420,24,5.7,1.1,11848|13806|13808|14635|14751|15488|20280|26897|27369|52538|56248|57319|57320|66114|66174|66588|67763|68087|76952|105446|171210|213484|319945|433182,Rhoa|Eno1|Eno3|Galk1|Gpi1|Hsd17b4|Scp2|Acot1|Dguok|Acaa2|Ak3|Smpdl3a|Park7|Dnajc30|Nudt14|Cmpk1|Prpsap1|Dcakd|Nt5c2|Gmpr2|Acot2|Nudt18|Flad1|Eno1b,-2,MyList
KEGG Pathway,24,ko05100,Bacterial invasion of epithelial cells,,-4.6,5.8,6.1,20638,76,420,9,2.1,0.71,11465|11848|16202|19353|56212|56443|74192|76709|242687,Actg1|Rhoa|Ilk|Rac1|Rhog|Arpc1a|Arpc5l|Arpc2|Wasf2,-1.9,MyList
GO Biological Processes,19,GO:0071801,regulation of podosome assembly,,-4.6,14,7.7,20638,18,420,5,1.2,0.53,11848|17698|18826|76709|227753,Rhoa|Msn|Lcp1|Arpc2|Gsn,-1.9,MyList
KEGG Pathway,24,ko05132,Salmonella infection,,-4.5,5.7,6,20638,78,420,9,2.1,0.71,11465|14281|15979|19353|56212|56443|74192|76709|242687,Actg1|Fos|Ifngr1|Rac1|Rhog|Arpc1a|Arpc5l|Arpc2|Wasf2,-1.8,MyList
GO Biological Processes,19,GO:1901658,glycosyl compound catabolic process,,-4.5,9.5,6.8,20638,31,420,6,1.4,0.58,17939|71665|76952|105446|110006|213484,Naga|Fuca1|Nt5c2|Gmpr2|Gusb|Nudt18,-1.8,MyList
Reactome Gene Sets,6,R-MMU-9018676,Biosynthesis of D-series resolvins,,-4.5,37,10,20638,4,420,3,0.71,0.41,15446|16993|625249,Hpgd|Lta4h|Gpx4,-1.8,MyList
GO Biological Processes,19,GO:0031334,positive regulation of protein-containing complex assembly,,-4.5,3.3,5.1,20638,239,420,16,3.8,0.93,11848|11853|13494|13854|17698|18826|19353|22218|23789|56443|57320|74192|76709|227753|242687|260409,Rhoa|Rhoc|Drg1|Epn1|Msn|Lcp1|Rac1|Sumo1|Coro1b|Arpc1a|Park7|Arpc5l|Arpc2|Gsn|Wasf2|Cdc42ep3,-1.8,MyList
KEGG Pathway,24,mmu05100,Bacterial invasion of epithelial cells,,-4.4,5.5,5.8,20638,80,420,9,2.1,0.71,11465|11848|16202|19353|56212|56443|74192|76709|242687,Actg1|Rhoa|Ilk|Rac1|Rhog|Arpc1a|Arpc5l|Arpc2|Wasf2,-1.8,MyList
KEGG Pathway,24,mmu05132,Salmonella infection,,-4.4,5.5,5.8,20638,81,420,9,2.1,0.71,11465|14281|15979|19353|56212|56443|74192|76709|242687,Actg1|Fos|Ifngr1|Rac1|Rhog|Arpc1a|Arpc5l|Arpc2|Wasf2,-1.7,MyList
GO Biological Processes,19,GO:0061912,selective autophagy,,-4.4,6.2,6,20638,63,420,8,1.9,0.67,11555|12539|20773|64704|66155|67443|68943|192656,Adrb2|Cdc37|Sptlc2|Htra2|Ufc1|Map1lc3b|Pink1|Ripk2,-1.7,MyList
GO Biological Processes,19,GO:0016137,glycoside metabolic process,,-4.4,12,7.3,20638,20,420,5,1.2,0.53,11677|14187|17939|71665|110006,Akr1b3|Akr1b8|Naga|Fuca1|Gusb,-1.7,MyList
Reactome Gene Sets,6,R-MMU-199991,Membrane Trafficking,,-4.4,2.4,4.7,20638,534,420,26,6.2,1.2,11465|11555|12345|12492|13854|14569|19326|22151|56443|59288|66147|66700|66914|67443|68137|68942|69178|69654|76308|76709|76959|108012|108148|216869|245828|271457,Actg1|Adrb2|Capzb|Scarb2|Epn1|Gdi2|Rab11b|Tubb2a|Arpc1a|Dctn5|Necap2|Chmp3|Vps28|Map1lc3b|Kdelr1|Chmp2b|Snx5|Dctn2|Rab1b|Arpc2|Chmp5|Ap1s2|Galnt2|Arrb2|Trappc1|Rab5a,-1.7,MyList
GO Biological Processes,19,GO:0043254,regulation of protein-containing complex assembly,,-4.4,2.6,4.8,20638,442,420,23,5.5,1.1,11816|11848|11853|12345|13494|13854|17698|18826|19165|19353|22121|22218|23789|23999|56443|57320|68943|72042|74192|76709|227753|242687|260409,Apoe|Rhoa|Rhoc|Capzb|Drg1|Epn1|Msn|Lcp1|Psen2|Rac1|Rpl13a|Sumo1|Coro1b|Twf2|Arpc1a|Park7|Pink1|Cotl1|Arpc5l|Arpc2|Gsn|Wasf2|Cdc42ep3,-1.7,MyList
Reactome Gene Sets,6,R-MMU-9033241,Peroxisomal protein import,,-4.3,6.1,5.9,20638,64,420,8,1.9,0.67,12359|15488|16922|23986|26897|51798|113868|171210,Cat|Hsd17b4|Phyh|Eci2|Acot1|Ech1|Acaa1a|Acot2,-1.7,MyList
Reactome Gene Sets,6,R-MMU-2682334,EPH-Ephrin signaling,,-4.3,6.1,5.9,20638,64,420,8,1.9,0.67,11465|11848|19165|19353|56443|66340|76709|226548,Actg1|Rhoa|Psen2|Rac1|Arpc1a|Psenen|Arpc2|Aph1a,-1.7,MyList
KEGG Pathway,24,ko04146,Peroxisome,,-4.3,5.3,5.7,20638,83,420,9,2.1,0.71,12359|15488|16922|20280|20524|23986|51798|59038|113868,Cat|Hsd17b4|Phyh|Scp2|Slc25a17|Eci2|Ech1|Pxmp4|Acaa1a,-1.7,MyList
KEGG Pathway,24,ko00071,Fatty acid degradation,,-4.2,7,6.1,20638,49,420,7,1.7,0.62,11409|11669|15107|23986|52538|56752|113868,Acads|Aldh2|Hadh|Eci2|Acaa2|Aldh9a1|Acaa1a,-1.7,MyList
Reactome Gene Sets,6,R-MMU-70263,Gluconeogenesis,,-4.2,8.7,6.5,20638,34,420,6,1.4,0.58,13806|13808|14751|17449|67863|433182,Eno1|Eno3|Gpi1|Mdh1|Slc25a11|Eno1b,-1.7,MyList
KEGG Pathway,24,mmu00071,Fatty acid degradation,,-4.2,6.9,6,20638,50,420,7,1.7,0.62,11409|11669|15107|23986|52538|56752|113868,Acads|Aldh2|Hadh|Eci2|Acaa2|Aldh9a1|Acaa1a,-1.6,MyList
GO Biological Processes,19,GO:0071800,podosome assembly,,-4.2,11,6.9,20638,22,420,5,1.2,0.53,11848|17698|18826|76709|227753,Rhoa|Msn|Lcp1|Arpc2|Gsn,-1.6,MyList
GO Biological Processes,19,GO:1902745,positive regulation of lamellipodium organization,,-4.1,8.2,6.2,20638,36,420,6,1.4,0.58,19353|19354|23789|23999|76709|242687,Rac1|Rac2|Coro1b|Twf2|Arpc2|Wasf2,-1.5,MyList
Reactome Gene Sets,6,R-MMU-9018896,Biosynthesis of E-series 18(S)-resolvins,,-4.1,29,9.2,20638,5,420,3,0.71,0.41,15446|16993|625249,Hpgd|Lta4h|Gpx4,-1.5,MyList
KEGG Pathway,24,mmu04146,Peroxisome,,-4.1,5,5.4,20638,89,420,9,2.1,0.71,12359|15488|16922|20280|20524|23986|51798|59038|113868,Cat|Hsd17b4|Phyh|Scp2|Slc25a17|Eci2|Ech1|Pxmp4|Acaa1a,-1.5,MyList
GO Biological Processes,19,GO:1902410,mitotic cytokinetic process,,-4.1,11,6.7,20638,23,420,5,1.2,0.53,11848|66700|68942|76959|234852,Rhoa|Chmp3|Chmp2b|Chmp5|Chmp1a,-1.5,MyList
KEGG Pathway,24,ko04144,Endocytosis,,-4.1,2.9,4.7,20638,286,420,17,4,0.96,11555|11848|12345|13854|19326|56443|66700|66914|68942|69178|74192|76709|76959|98878|216869|234852|271457,Adrb2|Rhoa|Capzb|Epn1|Rab11b|Arpc1a|Chmp3|Vps28|Chmp2b|Snx5|Arpc5l|Arpc2|Chmp5|Ehd4|Arrb2|Chmp1a|Rab5a,-1.5,MyList
GO Biological Processes,19,GO:0006091,generation of precursor metabolites and energy,,-4,2.6,4.5,20638,404,420,21,5,1.1,11848|12359|13806|13808|14635|14751|17449|19045|20463|20930|21351|27357|27369|57320|66114|66171|66841|68943|69089|110095|433182,Rhoa|Cat|Eno1|Eno3|Galk1|Gpi1|Mdh1|Ppp1ca|Cox7a2l|Surf1|Taldo1|Gyg|Dguok|Park7|Dnajc30|Pgls|Etfdh|Pink1|Oxa1l|Pygl|Eno1b,-1.5,MyList
GO Biological Processes,19,GO:1903827,regulation of cellular protein localization,,-4,2.3,4.4,20638,561,420,26,6.2,1.2,12177|14645|15216|17698|17846|18777|18826|19326|21937|52163|56212|56374|57320|64009|66914|68585|68889|68943|76281|76709|108058|108687|109905|226422|227753|230514,Bnip3l|Glul|Hfe|Msn|Commd1|Lypla1|Lcp1|Rab11b|Tnfrsf1a|Camk1|Rhog|Tmem59|Park7|Syne1|Vps28|Rtn4|Ubac2|Pink1|Tax1bp3|Arpc2|Camk2d|Edem2|Rap1a|Rab29|Gsn|Leprot,-1.5,MyList
KEGG Pathway,24,mmu04144,Endocytosis,,-4,2.9,4.6,20638,291,420,17,4,0.96,11555|11848|12345|13854|19326|56443|66700|66914|68942|69178|74192|76709|76959|98878|216869|234852|271457,Adrb2|Rhoa|Capzb|Epn1|Rab11b|Arpc1a|Chmp3|Vps28|Chmp2b|Snx5|Arpc5l|Arpc2|Chmp5|Ehd4|Arrb2|Chmp1a|Rab5a,-1.5,MyList
GO Biological Processes,19,GO:0009117,nucleotide metabolic process,,-4,2.5,4.5,20638,440,420,22,5.2,1.1,11848|13806|13808|14635|14751|15488|20280|26897|27369|52538|56248|57320|66114|66588|67763|68087|76952|105446|171210|213484|319945|433182,Rhoa|Eno1|Eno3|Galk1|Gpi1|Hsd17b4|Scp2|Acot1|Dguok|Acaa2|Ak3|Park7|Dnajc30|Cmpk1|Prpsap1|Dcakd|Nt5c2|Gmpr2|Acot2|Nudt18|Flad1|Eno1b,-1.5,MyList
GO Biological Processes,19,GO:0032970,regulation of actin filament-based process,,-3.9,2.5,4.5,20638,411,420,21,5,1.1,11465|11848|11853|11857|12345|12798|16202|16423|19353|19354|22218|23789|23999|56212|56443|72042|74192|76709|227753|242687|260409,Actg1|Rhoa|Rhoc|Arhgdib|Capzb|Cnn2|Ilk|Cd47|Rac1|Rac2|Sumo1|Coro1b|Twf2|Rhog|Arpc1a|Cotl1|Arpc5l|Arpc2|Gsn|Wasf2|Cdc42ep3,-1.4,MyList
GO Biological Processes,19,GO:0055086,nucleobase-containing small molecule metabolic process,,-3.9,2.3,4.4,20638,506,420,24,5.7,1.1,11848|13806|13808|14635|14751|15488|20280|26897|27369|52538|56248|57319|57320|66114|66174|66588|67763|68087|76952|105446|171210|213484|319945|433182,Rhoa|Eno1|Eno3|Galk1|Gpi1|Hsd17b4|Scp2|Acot1|Dguok|Acaa2|Ak3|Smpdl3a|Park7|Dnajc30|Nudt14|Cmpk1|Prpsap1|Dcakd|Nt5c2|Gmpr2|Acot2|Nudt18|Flad1|Eno1b,-1.4,MyList
GO Biological Processes,19,GO:0032506,cytokinetic process,,-3.9,7.6,5.9,20638,39,420,6,1.4,0.58,11848|57784|66700|68942|76959|234852,Rhoa|Bin3|Chmp3|Chmp2b|Chmp5|Chmp1a,-1.4,MyList
GO Biological Processes,19,GO:0009259,ribonucleotide metabolic process,,-3.9,2.6,4.5,20638,354,420,19,4.5,1,11848|13806|13808|14635|14751|15488|20280|26897|27369|52538|56248|66114|66588|68087|76952|105446|171210|213484|433182,Rhoa|Eno1|Eno3|Galk1|Gpi1|Hsd17b4|Scp2|Acot1|Dguok|Acaa2|Ak3|Dnajc30|Cmpk1|Dcakd|Nt5c2|Gmpr2|Acot2|Nudt18|Eno1b,-1.4,MyList
KEGG Pathway,24,ko00280,"Valine, leucine and isoleucine degradation",,-3.9,6.1,5.6,20638,56,420,7,1.7,0.62,11409|11669|12039|15107|52538|56752|113868,Acads|Aldh2|Bckdha|Hadh|Acaa2|Aldh9a1|Acaa1a,-1.4,MyList
GO Biological Processes,19,GO:0030041,actin filament polymerization,,-3.9,3.4,4.7,20638,189,420,13,3.1,0.85,11848|12345|19201|19353|23789|23999|56443|72042|74192|76709|227753|242687|260409,Rhoa|Capzb|Pstpip2|Rac1|Coro1b|Twf2|Arpc1a|Cotl1|Arpc5l|Arpc2|Gsn|Wasf2|Cdc42ep3,-1.4,MyList
GO Biological Processes,19,GO:0044257,cellular protein catabolic process,,-3.8,2,4.2,20638,779,420,32,7.6,1.3,11816|12177|14775|14794|15216|17698|17846|19063|19141|19165|19170|22218|24017|28000|52377|52551|56464|57296|57320|59008|64704|65113|66914|67819|68718|68889|69459|70510|81018|108687|216869|381629,Apoe|Bnip3l|Gpx1|Spsb2|Hfe|Msn|Commd1|Ppt1|Lgmn|Psen2|Psmb1|Sumo1|Rnf13|Prpf19|Rcn3|Sgta|Ctsf|Psmd8|Park7|Anapc5|Htra2|Ndfip1|Vps28|Derl1|Rnf166|Ubac2|Ubl7|Rnf167|Rnf114|Edem2|Arrb2|Atraid,-1.4,MyList
GO Biological Processes,19,GO:0032494,response to peptidoglycan,,-3.8,14,7,20638,14,420,4,0.95,0.47,12273|27056|192656|332579,C5ar1|Irf5|Ripk2|Card9,-1.4,MyList
