Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0033962,P-body assembly,,-9,16,12,20638,20,564,9,1.6,0.53,13209|29806|72587|74203|104625|231464|233871|234594|381305,Ddx6|Limd1|Pan3|Eif4enif1|Cnot6|Cnot6l|Atxn2l|Cnot1|Rc3h1,-6,MyList
GO Biological Processes,19,GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,,-8.9,14,11,20638,27,564,10,1.8,0.56,72587|74203|104625|213988|231464|232791|233033|233833|234594|239528,Pan3|Eif4enif1|Cnot6|Tnrc6b|Cnot6l|Cnot3|Samd4b|Tnrc6a|Cnot1|Ago2,-5.9,MyList
GO Biological Processes,19,GO:0002521,leukocyte differentiation,,-8.8,2.7,7.2,20638,608,564,45,8,1.1,12043|12193|12398|12399|12608|12772|13653|14159|16071|16194|16331|16364|16409|16416|16969|18021|18129|18782|18987|19229|19264|19271|19401|19645|20130|20185|20663|20687|20737|20852|21847|22632|22778|74039|94176|98386|99982|108655|211770|216161|320940|328365|328572|381305|381319,Bcl2|Zfp36l2|Cbfa2t3|Runx3|Cebpb|Ccr2|Egr1|Fes|Igkc|Il6ra|Inpp5d|Irf4|Itgam|Itgb3|Zbtb7a|Nfatc3|Notch2|Pla2g2d|Pou2f2|Ptk2b|Ptprc|Ptprj|Rara|Rb1|Rras|Ncor1|Sos2|Sp3|Spn|Stat6|Klf10|Yy1|Ikzf1|Nfam1|Dock2|Lbr|Kdm1a|Foxp1|Trib1|Sbno2|Atp11c|Zmiz1|Ep300|Rc3h1|Batf3,-5.9,MyList
GO Biological Processes,19,GO:0010608,posttranscriptional regulation of gene expression,,-8.8,2.8,7.2,20638,544,564,42,7.4,1.1,11651|11991|12193|13046|13205|13209|13688|16589|17347|18033|19229|19317|19401|19878|20185|20602|21938|29806|73826|74203|80912|80913|104625|192160|211006|212943|213753|213988|228994|229096|230908|231207|231464|232791|233033|233833|233908|234594|239528|242248|328572|381305,Akt1|Hnrnpd|Zfp36l2|Celf1|Ddx3x|Ddx6|Eif4ebp2|Uhmk1|Mknk2|Nfkb1|Ptk2b|Qk|Rara|Rock2|Ncor1|Ncor2|Tnfrsf1b|Limd1|Poldip3|Eif4enif1|Pum1|Pum2|Cnot6|Casc3|Sepsecs|Tent5a|Zfp598|Tnrc6b|Ythdf1|Ythdf3|Tardbp|Cpeb2|Cnot6l|Cnot3|Samd4b|Tnrc6a|Fus|Cnot1|Ago2|Bank1|Ep300|Rc3h1,-5.9,MyList
GO Biological Processes,19,GO:0030099,myeloid cell differentiation,,-8.7,3.1,7.3,20638,424,564,36,6.4,1,11479|12398|12608|13132|14159|16331|16364|16409|16416|16923|16969|18129|18718|19229|19401|19411|19645|20185|20683|20687|21847|22083|22778|50794|69188|98386|99982|211770|214133|216161|223770|226844|230257|244349|328572|381319,Acvr1b|Cbfa2t3|Cebpb|Dab2|Fes|Inpp5d|Irf4|Itgam|Itgb3|Sh2b3|Zbtb7a|Notch2|Pip4k2a|Ptk2b|Rara|Rarg|Rb1|Ncor1|Sp1|Sp3|Klf10|Ctr9|Ikzf1|Klf13|Kmt2e|Lbr|Kdm1a|Trib1|Tet2|Sbno2|Brd1|Flvcr1|Ptbp3|Kat6a|Ep300|Batf3,-5.8,MyList
GO Biological Processes,19,GO:0009725,response to hormone,,-8.6,2.5,7,20638,705,564,49,8.7,1.2,11651|12043|12193|12928|13132|13618|13653|13688|14678|16150|16601|16969|17718|18033|18519|18718|18759|19015|19211|19267|19271|19401|19411|19878|20185|20384|20402|20602|20683|20852|22234|50523|54601|75547|77889|83946|104215|106572|110355|192157|224902|224903|231207|232286|234594|328365|328572|381022|606496,Akt1|Bcl2|Zfp36l2|Crk|Dab2|Ednrb|Egr1|Eif4ebp2|Gnai2|Ikbkb|Klf9|Zbtb7a|ND3|Nfkb1|Kat2b|Pip4k2a|Prkci|Ppard|Pten|Ptpre|Ptprj|Rara|Rarg|Rock2|Ncor1|Srsf5|Zfp106|Ncor2|Sp1|Stat6|Ugcg|Lats2|Foxo4|Akap13|Lbh|Phip|Rhoq|Rab31|Grk2|Socs7|Safb2|Safb|Cpeb2|Tmf1|Cnot1|Zmiz1|Ep300|Kmt2d|Gsk3a,-5.7,MyList
GO Biological Processes,19,GO:0006470,protein dephosphorylation,,-8.6,4,7.7,20638,240,564,26,4.6,0.88,12043|13003|14678|16150|19043|19046|19053|19058|19211|19248|19264|19267|19271|19878|26931|26936|52432|52468|68188|70686|72349|74585|217124|226849|231637|243819,Bcl2|Vcan|Gnai2|Ikbkb|Ppm1b|Ppp1cb|Ppp2cb|Ppp3r1|Pten|Ptpn12|Ptprc|Ptpre|Ptprj|Rock2|Ppp2r5c|Mprip|Ppp2r2d|Ctdsp2|Sympk|Dusp16|Dusp3|Sppl3|Ppp1r9b|Ppp2r5a|Ssh1|Ppp6r1,-5.7,MyList
GO Biological Processes,19,GO:0034655,nucleobase-containing compound catabolic process,,-8.4,3.2,7.3,20638,374,564,33,5.9,0.99,11717|11783|11991|12193|13046|19317|19878|21938|72587|74203|80912|80913|104625|108077|192160|212943|213988|214597|228994|229096|229512|229663|230908|231464|232791|233033|233789|233833|233908|234594|239528|246728|381305,Ampd3|Apaf1|Hnrnpd|Zfp36l2|Celf1|Qk|Rock2|Tnfrsf1b|Pan3|Eif4enif1|Pum1|Pum2|Cnot6|Skiv2l|Casc3|Tent5a|Tnrc6b|Sidt2|Ythdf1|Ythdf3|Smg5|Csde1|Tardbp|Cnot6l|Cnot3|Samd4b|Smg1|Tnrc6a|Fus|Cnot1|Ago2|Oas2|Rc3h1,-5.6,MyList
GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,,-8.4,2.5,6.9,20638,717,564,49,8.7,1.2,12043|12488|12928|13367|13383|13860|14159|16150|16416|16653|16971|17258|18129|18720|18759|19229|19878|20742|26401|26554|26936|27361|29875|50918|57778|64652|66713|69581|71302|72754|75547|76108|76707|94176|102098|104215|108655|140579|192176|211673|215114|215280|216965|217124|217866|225115|231637|246177|328572,Bcl2|Cd2ap|Crk|Diaph1|Dlg1|Eps8|Fes|Ikbkb|Itgb3|Kras|Lrp1|Mef2a|Notch2|Pip5k1a|Prkci|Ptk2b|Rock2|Sptbn1|Map3k1|Cul3|Mprip|Msrb1|Iqgap1|Myadm|Fmnl1|Nisch|Actr2|Rhou|Arhgap26|Arhgef10l|Akap13|Rap2a|Clasp1|Dock2|Arhgef18|Rhoq|Foxp1|Elmo2|Flna|Arfgef1|Hip1|Wipf1|Taok1|Ppp1r9b|Cdc42bpb|Svil|Ssh1|Myo1g|Ep300,-5.5,MyList
GO Biological Processes,19,GO:0031329,regulation of cellular catabolic process,,-8.3,2.5,6.8,20638,722,564,49,8.7,1.2,11651|11783|11991|12043|12193|12398|12795|13046|13132|13179|15511|16154|16971|18718|18763|19046|19211|19229|19317|19878|21938|30955|56353|56490|74203|80912|80913|93679|93687|103573|209387|211770|212943|213988|216157|228994|229096|230908|231464|232286|233033|233789|233833|233908|234594|239528|252972|381305|606496,Akt1|Apaf1|Hnrnpd|Bcl2|Zfp36l2|Cbfa2t3|Plk3|Celf1|Dab2|Dcn|Hspa1b|Il10ra|Lrp1|Pip4k2a|Pkd1|Ppp1cb|Pten|Ptk2b|Qk|Rock2|Tnfrsf1b|Pik3cg|Rybp|Zbtb20|Eif4enif1|Pum1|Pum2|Trim8|Csnk1a1|Xpo1|Trim30d|Trib1|Tent5a|Tnrc6b|Tmem259|Ythdf1|Ythdf3|Tardbp|Cnot6l|Tmf1|Samd4b|Smg1|Tnrc6a|Fus|Cnot1|Ago2|Tpcn1|Rc3h1|Gsk3a,-5.5,MyList
GO Biological Processes,19,GO:0007264,small GTPase mediated signal transduction,,-8.3,3,7.1,20638,439,564,36,6.4,1,12402|12488|12928|13860|16653|16801|18129|18226|19053|19732|19878|20130|20663|24071|26554|26921|30955|56392|64095|64652|69581|71302|72754|74206|75547|76108|94176|102098|104215|193385|211673|213498|219140|226652|263406|380711,Cbl|Cd2ap|Crk|Eps8|Kras|Arhgef1|Notch2|Nup62|Ppp2cb|Rgl2|Rock2|Rras|Sos2|Synj2bp|Cul3|Map4k4|Pik3cg|Shoc2|Gpr35|Nisch|Rhou|Arhgap26|Arhgef10l|Sipa1l3|Akap13|Rap2a|Dock2|Arhgef18|Rhoq|Ripor2|Arfgef1|Arhgef11|Spata13|Arhgap30|Plekhg3|Rap1gap2,-5.5,MyList
GO Biological Processes,19,GO:0000956,nuclear-transcribed mRNA catabolic process,,-8.2,5.7,8.3,20638,109,564,17,3,0.72,12193|72587|74203|104625|108077|192160|213988|229512|229663|231464|232791|233033|233789|233833|234594|239528|381305,Zfp36l2|Pan3|Eif4enif1|Cnot6|Skiv2l|Casc3|Tnrc6b|Smg5|Csde1|Cnot6l|Cnot3|Samd4b|Smg1|Tnrc6a|Cnot1|Ago2|Rc3h1,-5.4,MyList
GO Biological Processes,19,GO:0044270,cellular nitrogen compound catabolic process,,-8.1,3.1,7,20638,406,564,34,6,1,11717|11783|11991|12193|13046|19317|19878|21938|72587|74203|80912|80913|104625|108077|192160|212943|213988|214133|214597|228994|229096|229512|229663|230908|231464|232791|233033|233789|233833|233908|234594|239528|246728|381305,Ampd3|Apaf1|Hnrnpd|Zfp36l2|Celf1|Qk|Rock2|Tnfrsf1b|Pan3|Eif4enif1|Pum1|Pum2|Cnot6|Skiv2l|Casc3|Tent5a|Tnrc6b|Tet2|Sidt2|Ythdf1|Ythdf3|Smg5|Csde1|Tardbp|Cnot6l|Cnot3|Samd4b|Smg1|Tnrc6a|Fus|Cnot1|Ago2|Oas2|Rc3h1,-5.3,MyList
GO Biological Processes,19,GO:0046700,heterocycle catabolic process,,-8.1,3.1,7,20638,407,564,34,6,1,11717|11783|11991|12193|13046|19317|19878|21938|72587|74203|80912|80913|104625|108077|192160|212943|213988|214133|214597|228994|229096|229512|229663|230908|231464|232791|233033|233789|233833|233908|234594|239528|246728|381305,Ampd3|Apaf1|Hnrnpd|Zfp36l2|Celf1|Qk|Rock2|Tnfrsf1b|Pan3|Eif4enif1|Pum1|Pum2|Cnot6|Skiv2l|Casc3|Tent5a|Tnrc6b|Tet2|Sidt2|Ythdf1|Ythdf3|Smg5|Csde1|Tardbp|Cnot6l|Cnot3|Samd4b|Smg1|Tnrc6a|Fus|Cnot1|Ago2|Oas2|Rc3h1,-5.3,MyList
GO Biological Processes,19,GO:0051056,regulation of small GTPase mediated signal transduction,,-8,3.6,7.3,20638,273,564,27,4.8,0.9,12402|12488|12928|13860|16653|16801|18129|18226|19053|19732|20663|26554|26921|30955|56392|64095|71302|72754|74206|75547|94176|102098|193385|211673|219140|263406|380711,Cbl|Cd2ap|Crk|Eps8|Kras|Arhgef1|Notch2|Nup62|Ppp2cb|Rgl2|Sos2|Cul3|Map4k4|Pik3cg|Shoc2|Gpr35|Arhgap26|Arhgef10l|Sipa1l3|Akap13|Dock2|Arhgef18|Ripor2|Arfgef1|Spata13|Plekhg3|Rap1gap2,-5.3,MyList
GO Biological Processes,19,GO:0046777,protein autophosphorylation,,-8,3.8,7.4,20638,238,564,25,4.4,0.87,11479|12747|12750|13205|13548|14159|14182|14360|16589|17169|17347|19229|19264|20868|20874|26403|26931|29875|76108|103236|207565|216965|226849|232341|233789,Acvr1b|Clk1|Clk4|Ddx3x|Dyrk1a|Fes|Fgfr1|Fyn|Uhmk1|Mark3|Mknk2|Ptk2b|Ptprc|Stk10|Slk|Map3k11|Ppp2r5c|Iqgap1|Rap2a|Csnk1g2|Camkk2|Taok1|Ppp2r5a|Wnk1|Smg1,-5.3,MyList
WikiPathways,27,WP387,IL-6 signaling Pathway,,-8,5.9,8.2,20638,99,564,16,2.8,0.7,11651|12608|12914|14159|14360|16194|16195|16331|18033|19053|19229|19645|26931|54601|226849|328572,Akt1|Cebpb|Crebbp|Fes|Fyn|Il6ra|Il6st|Inpp5d|Nfkb1|Ppp2cb|Ptk2b|Rb1|Ppp2r5c|Foxo4|Ppp2r5a|Ep300,-5.2,MyList
WikiPathways,27,WP373,IL-3 Signaling Pathway,,-8,5.9,8.2,20638,99,564,16,2.8,0.7,11651|12043|12402|12928|14159|14360|16331|16653|17395|18033|18707|19401|20852|21938|22330|606496,Akt1|Bcl2|Cbl|Crk|Fes|Fyn|Inpp5d|Kras|Mmp9|Nfkb1|Pik3cd|Rara|Stat6|Tnfrsf1b|Vcl|Gsk3a,-5.2,MyList
GO Biological Processes,19,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",,-7.9,8.4,9,20638,52,564,12,2.1,0.61,12193|72587|74203|104625|213988|231464|232791|233033|233833|234594|239528|381305,Zfp36l2|Pan3|Eif4enif1|Cnot6|Tnrc6b|Cnot6l|Cnot3|Samd4b|Tnrc6a|Cnot1|Ago2|Rc3h1,-5.2,MyList
GO Biological Processes,19,GO:0019439,aromatic compound catabolic process,,-7.7,3,6.8,20638,421,564,34,6,1,11717|11783|11991|12193|13046|19317|19878|21938|72587|74203|80912|80913|104625|108077|192160|212943|213988|214133|214597|228994|229096|229512|229663|230908|231464|232791|233033|233789|233833|233908|234594|239528|246728|381305,Ampd3|Apaf1|Hnrnpd|Zfp36l2|Celf1|Qk|Rock2|Tnfrsf1b|Pan3|Eif4enif1|Pum1|Pum2|Cnot6|Skiv2l|Casc3|Tent5a|Tnrc6b|Tet2|Sidt2|Ythdf1|Ythdf3|Smg5|Csde1|Tardbp|Cnot6l|Cnot3|Samd4b|Smg1|Tnrc6a|Fus|Cnot1|Ago2|Oas2|Rc3h1,-5,MyList
GO Biological Processes,19,GO:0030155,regulation of cell adhesion,,-7.6,2.4,6.4,20638,735,564,48,8.5,1.2,11426|11651|11906|12043|12399|12608|12767|12772|12928|13132|13383|14159|14268|16195|16401|16408|16416|16923|16971|17196|17356|18763|18782|19046|19211|19229|19264|19271|19401|20130|20737|20874|22330|22778|26921|29875|50918|54607|68169|72349|76707|100182|192176|193385|211922|232341|328365|381305,Macf1|Akt1|Zfhx3|Bcl2|Runx3|Cebpb|Cxcr4|Ccr2|Crk|Dab2|Dlg1|Fes|Fn1|Il6st|Itga4|Itgal|Itgb3|Sh2b3|Lrp1|Mbp|Afdn|Pkd1|Pla2g2d|Ppp1cb|Pten|Ptk2b|Ptprc|Ptprj|Rara|Rras|Spn|Slk|Vcl|Ikzf1|Map4k4|Iqgap1|Myadm|Socs6|Ndnf|Dusp3|Clasp1|Akna|Flna|Ripor2|Dennd6a|Wnk1|Zmiz1|Rc3h1,-4.9,MyList
